"nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","boot_se","boot_pval","coef","boot_pval"
6,2,0,0.3,0.3,8,1,NA,NA,-0.09731486599819,0.738
6,2,0,0.3,0.3,8,2,NA,NA,-0.0698250090721653,0.796
6,2,0,0.3,0.3,8,3,NA,NA,-0.265041261111249,0.292
6,2,0,0.3,0.3,8,4,NA,NA,0.0209220955182269,0.938
6,2,0,0.3,0.3,8,5,NA,NA,-0.295957565558925,0.284
6,2,0,0.3,0.3,8,6,NA,NA,-0.318974857798604,0.226
6,2,0,0.3,0.3,8,7,NA,NA,-0.0774496229097272,0.782
6,2,0,0.3,0.3,8,8,NA,NA,0.212484208951179,0.39
6,2,0,0.3,0.3,8,9,NA,NA,-0.110546688495552,0.674
6,2,0,0.3,0.3,8,10,NA,NA,-0.714359448070718,0.01
6,2,0,0.3,0.3,8,11,NA,NA,0.204141595816094,0.464
6,2,0,0.3,0.3,8,12,NA,NA,-0.107371729238141,0.704
6,2,0,0.3,0.3,8,13,NA,NA,0.305474554392265,0.238
6,2,0,0.3,0.3,8,14,NA,NA,0.125318756295419,0.626
6,2,0,0.3,0.3,8,15,NA,NA,-0.0338123000539401,0.888
6,2,0,0.3,0.3,8,16,NA,NA,0.280031239681638,0.26
6,2,0,0.3,0.3,8,17,NA,NA,-0.68772835472542,0.014
6,2,0,0.3,0.3,8,18,NA,NA,0.114062424643918,0.662
6,2,0,0.3,0.3,8,19,NA,NA,-0.117089122163447,0.672
6,2,0,0.3,0.3,8,20,NA,NA,-0.383246092863394,0.144
6,2,0,0.3,0.3,8,21,NA,NA,0.669174721844747,0.01
6,2,0,0.3,0.3,8,22,NA,NA,0.349099335161271,0.208
6,2,0,0.3,0.3,8,23,NA,NA,0.083488756716393,0.74
6,2,0,0.3,0.3,8,24,NA,NA,-0.246011693506174,0.35
6,2,0,0.3,0.3,8,25,NA,NA,0.0450596417023375,0.84
6,2,0,0.3,0.3,8,26,NA,NA,0.198757076829328,0.434
6,2,0,0.3,0.3,8,27,NA,NA,0.567828416544529,0.038
6,2,0,0.3,0.3,8,28,NA,NA,0.145274281483923,0.608
6,2,0,0.3,0.3,8,29,NA,NA,-0.345338777448931,0.2
6,2,0,0.3,0.3,8,30,NA,NA,-0.220711125658355,0.374
6,2,0,0.3,0.3,8,31,NA,NA,-0.153826367043672,0.554
6,2,0,0.3,0.3,8,32,NA,NA,0.308291981616077,0.248
6,2,0,0.3,0.3,8,33,NA,NA,-0.0563685793280169,0.818
6,2,0,0.3,0.3,8,34,NA,NA,-0.384503659325355,0.134
6,2,0,0.3,0.3,8,35,NA,NA,0.0836567051908363,0.752
6,2,0,0.3,0.3,8,36,NA,NA,0.0514619049963982,0.868
6,2,0,0.3,0.3,8,37,NA,NA,0.606949532386237,0.036
6,2,0,0.3,0.3,8,38,NA,NA,0.0775722710415858,0.776
6,2,0,0.3,0.3,8,39,NA,NA,-0.085414512785008,0.762
6,2,0,0.3,0.3,8,40,NA,NA,-0.25664273314099,0.328
6,2,0,0.3,0.3,8,41,NA,NA,-0.270376824684207,0.33
6,2,0,0.3,0.3,8,42,NA,NA,-0.298457068089452,0.242
6,2,0,0.3,0.3,8,43,NA,NA,-0.0809885532260697,0.746
6,2,0,0.3,0.3,8,44,NA,NA,0.0972087468314227,0.712
6,2,0,0.3,0.3,8,45,NA,NA,-0.500142571205216,0.048
6,2,0,0.3,0.3,8,46,NA,NA,0.503377688634581,0.048
6,2,0,0.3,0.3,8,47,NA,NA,0.0513443632583248,0.852
6,2,0,0.3,0.3,8,48,NA,NA,0.24400453033793,0.312
6,2,0,0.3,0.3,8,49,NA,NA,0.20806795385541,0.396
6,2,0,0.3,0.3,8,50,NA,NA,0.12834862054817,0.636
6,2,0,0.3,0.3,8,51,NA,NA,0.183558635681551,0.478
6,2,0,0.3,0.3,8,52,NA,NA,0.00262160903120036,0.992
6,2,0,0.3,0.3,8,53,NA,NA,0.289492853111336,0.254
6,2,0,0.3,0.3,8,54,NA,NA,-0.381817867132265,0.116
6,2,0,0.3,0.3,8,55,NA,NA,0.222442092232917,0.424
6,2,0,0.3,0.3,8,56,NA,NA,-0.024563534960012,0.9
6,2,0,0.3,0.3,8,57,NA,NA,-0.523030747295299,0.056
6,2,0,0.3,0.3,8,58,NA,NA,-0.373260604857182,0.156
6,2,0,0.3,0.3,8,59,NA,NA,-0.246688784192516,0.32
6,2,0,0.3,0.3,8,60,NA,NA,0.347016149716949,0.214
6,2,0,0.3,0.3,8,61,NA,NA,0.041980804723353,0.884
6,2,0,0.3,0.3,8,62,NA,NA,0.262671111201385,0.294
6,2,0,0.3,0.3,8,63,NA,NA,-0.0944145874444345,0.724
6,2,0,0.3,0.3,8,64,NA,NA,0.0252995646659185,0.916
6,2,0,0.3,0.3,8,65,NA,NA,-0.296639183224992,0.252
6,2,0,0.3,0.3,8,66,NA,NA,-0.136671111209169,0.618
6,2,0,0.3,0.3,8,67,NA,NA,-0.366475637717045,0.15
6,2,0,0.3,0.3,8,68,NA,NA,0.172894829918018,0.534
6,2,0,0.3,0.3,8,69,NA,NA,-0.318613383267572,0.228
6,2,0,0.3,0.3,8,70,NA,NA,0.517362508039757,0.044
6,2,0,0.3,0.3,8,71,NA,NA,0.413921023449474,0.096
6,2,0,0.3,0.3,8,72,NA,NA,-0.127841422820588,0.616
6,2,0,0.3,0.3,8,73,NA,NA,-0.015026088020839,0.958
6,2,0,0.3,0.3,8,74,NA,NA,0.177023942459258,0.488
6,2,0,0.3,0.3,8,75,NA,NA,0.0172924026559046,0.952
6,2,0,0.3,0.3,8,76,NA,NA,-0.0607403731018384,0.786
6,2,0,0.3,0.3,8,77,NA,NA,0.323231737187781,0.216
6,2,0,0.3,0.3,8,78,NA,NA,-0.161861733387416,0.532
6,2,0,0.3,0.3,8,79,NA,NA,-0.324270874814717,0.214
6,2,0,0.3,0.3,8,80,NA,NA,-0.102060376577278,0.684
6,2,0,0.3,0.3,8,81,NA,NA,0.0324915761314246,0.912
6,2,0,0.3,0.3,8,82,NA,NA,-0.0496982106994221,0.86
6,2,0,0.3,0.3,8,83,NA,NA,0.110220881873369,0.668
6,2,0,0.3,0.3,8,84,NA,NA,-0.0896536634747116,0.748
6,2,0,0.3,0.3,8,85,NA,NA,-0.449910050090562,0.066
6,2,0,0.3,0.3,8,86,NA,NA,0.0787173378454634,0.792
6,2,0,0.3,0.3,8,87,NA,NA,0.160137655864777,0.504
6,2,0,0.3,0.3,8,88,NA,NA,0.0181177776234927,0.948
6,2,0,0.3,0.3,8,89,NA,NA,-0.10840272476196,0.702
6,2,0,0.3,0.3,8,90,NA,NA,-0.250284839138693,0.332
6,2,0,0.3,0.3,8,91,NA,NA,0.118434588365601,0.656
6,2,0,0.3,0.3,8,92,NA,NA,0.316314770057465,0.256
6,2,0,0.3,0.3,8,93,NA,NA,0.15992889837258,0.544
6,2,0,0.3,0.3,8,94,NA,NA,-0.231556672185107,0.356
6,2,0,0.3,0.3,8,95,NA,NA,-0.337344871108024,0.158
6,2,0,0.3,0.3,8,96,NA,NA,0.0671633543086209,0.79
6,2,0,0.3,0.3,8,97,NA,NA,-0.0769751419645019,0.822
6,2,0,0.3,0.3,8,98,NA,NA,0.127679129797776,0.612
6,2,0,0.3,0.3,8,99,NA,NA,0.28837079367886,0.266
6,2,0,0.3,0.3,8,100,NA,NA,0.492001769078949,0.054
6,2,0,0.3,0.3,8,101,NA,NA,-0.0686215566949823,0.816
6,2,0,0.3,0.3,8,102,NA,NA,-0.149605062756942,0.55
6,2,0,0.3,0.3,8,103,NA,NA,0.179323987866938,0.532
6,2,0,0.3,0.3,8,104,NA,NA,-0.0975131438938578,0.724
6,2,0,0.3,0.3,8,105,NA,NA,0.303257233815165,0.238
6,2,0,0.3,0.3,8,106,NA,NA,-0.481365264009759,0.062
6,2,0,0.3,0.3,8,107,NA,NA,0.0604813750738133,0.818
6,2,0,0.3,0.3,8,108,NA,NA,-0.113919536351399,0.614
6,2,0,0.3,0.3,8,109,NA,NA,-0.211407385832112,0.39
6,2,0,0.3,0.3,8,110,NA,NA,0.252072564377785,0.354
6,2,0,0.3,0.3,8,111,NA,NA,0.254674313069036,0.338
6,2,0,0.3,0.3,8,112,NA,NA,-0.376361066385609,0.16
6,2,0,0.3,0.3,8,113,NA,NA,-0.0632790938200447,0.844
6,2,0,0.3,0.3,8,114,NA,NA,0.518365256726622,0.06
6,2,0,0.3,0.3,8,115,NA,NA,0.0488723840419582,0.848
6,2,0,0.3,0.3,8,116,NA,NA,-0.30400380996626,0.254
6,2,0,0.3,0.3,8,117,NA,NA,0.196574879699024,0.46
6,2,0,0.3,0.3,8,118,NA,NA,-0.246388757963533,0.336
6,2,0,0.3,0.3,8,119,NA,NA,-0.415563950805693,0.134
6,2,0,0.3,0.3,8,120,NA,NA,-0.0110591897367903,0.958
6,2,0,0.3,0.3,8,121,NA,NA,-0.0542239904705133,0.846
6,2,0,0.3,0.3,8,122,NA,NA,-0.0770233432360973,0.78
6,2,0,0.3,0.3,8,123,NA,NA,0.352722594487165,0.19
6,2,0,0.3,0.3,8,124,NA,NA,-0.160059971748803,0.576
6,2,0,0.3,0.3,8,125,NA,NA,0.0996085471100169,0.708
6,2,0,0.3,0.3,8,126,NA,NA,0.24562639261613,0.362
6,2,0,0.3,0.3,8,127,NA,NA,0.281515871256081,0.254
6,2,0,0.3,0.3,8,128,NA,NA,0.37141188445718,0.118
6,2,0,0.3,0.3,8,129,NA,NA,0.258629233313258,0.348
6,2,0,0.3,0.3,8,130,NA,NA,0.488783571634393,0.064
6,2,0,0.3,0.3,8,131,NA,NA,-0.0665123589799845,0.816
6,2,0,0.3,0.3,8,132,NA,NA,-0.347642008088102,0.184
6,2,0,0.3,0.3,8,133,NA,NA,0.244433717726157,0.356
6,2,0,0.3,0.3,8,134,NA,NA,0.0984614216392168,0.714
6,2,0,0.3,0.3,8,135,NA,NA,-0.175086190436495,0.476
6,2,0,0.3,0.3,8,136,NA,NA,0.186420336160547,0.46
6,2,0,0.3,0.3,8,137,NA,NA,-0.00740691910586895,0.98
6,2,0,0.3,0.3,8,138,NA,NA,0.332123276605392,0.206
6,2,0,0.3,0.3,8,139,NA,NA,-0.22212648619529,0.386
6,2,0,0.3,0.3,8,140,NA,NA,-0.187041163237056,0.446
6,2,0,0.3,0.3,8,141,NA,NA,-0.0606833250263927,0.832
6,2,0,0.3,0.3,8,142,NA,NA,0.0256485355636263,0.93
6,2,0,0.3,0.3,8,143,NA,NA,-0.0240235091002383,0.916
6,2,0,0.3,0.3,8,144,NA,NA,-0.623399387617917,0.012
6,2,0,0.3,0.3,8,145,NA,NA,-0.130060859180026,0.612
6,2,0,0.3,0.3,8,146,NA,NA,0.124819436714656,0.634
6,2,0,0.3,0.3,8,147,NA,NA,0.125715998044219,0.6
6,2,0,0.3,0.3,8,148,NA,NA,-0.124044758810172,0.598
6,2,0,0.3,0.3,8,149,NA,NA,0.644825727802578,0.012
6,2,0,0.3,0.3,8,150,NA,NA,-0.175606232439611,0.502
6,2,0,0.3,0.3,8,151,NA,NA,0.0306475418865865,0.916
6,2,0,0.3,0.3,8,152,NA,NA,-0.381656419889062,0.14
6,2,0,0.3,0.3,8,153,NA,NA,-0.0800134564201364,0.766
6,2,0,0.3,0.3,8,154,NA,NA,-0.0112901705612426,0.958
6,2,0,0.3,0.3,8,155,NA,NA,-0.0840285259331935,0.706
6,2,0,0.3,0.3,8,156,NA,NA,-0.2768253416317,0.288
6,2,0,0.3,0.3,8,157,NA,NA,-0.20944442428841,0.446
6,2,0,0.3,0.3,8,158,NA,NA,0.0971219333698885,0.706
6,2,0,0.3,0.3,8,159,NA,NA,-0.503241543130898,0.068
6,2,0,0.3,0.3,8,160,NA,NA,0.158230784974833,0.58
6,2,0,0.3,0.3,8,161,NA,NA,0.0253758174406272,0.912
6,2,0,0.3,0.3,8,162,NA,NA,0.193176742799086,0.468
6,2,0,0.3,0.3,8,163,NA,NA,0.250126424689142,0.356
6,2,0,0.3,0.3,8,164,NA,NA,-0.0500169886079746,0.836
6,2,0,0.3,0.3,8,165,NA,NA,0.0838854410072132,0.708
6,2,0,0.3,0.3,8,166,NA,NA,-0.0464819164000829,0.864
6,2,0,0.3,0.3,8,167,NA,NA,-0.178477401360381,0.486
6,2,0,0.3,0.3,8,168,NA,NA,0.116517617849666,0.61
6,2,0,0.3,0.3,8,169,NA,NA,0.147937462146563,0.572
6,2,0,0.3,0.3,8,170,NA,NA,0.208311911059623,0.448
6,2,0,0.3,0.3,8,171,NA,NA,0.144210894828176,0.558
6,2,0,0.3,0.3,8,172,NA,NA,-0.351472768736672,0.172
6,2,0,0.3,0.3,8,173,NA,NA,-0.324580918966563,0.256
6,2,0,0.3,0.3,8,174,NA,NA,0.41873182991601,0.13
6,2,0,0.3,0.3,8,175,NA,NA,0.165087490283801,0.54
6,2,0,0.3,0.3,8,176,NA,NA,0.277443521055542,0.282
6,2,0,0.3,0.3,8,177,NA,NA,0.0283389813114063,0.912
6,2,0,0.3,0.3,8,178,NA,NA,-0.229483914926654,0.342
6,2,0,0.3,0.3,8,179,NA,NA,0.444699240629763,0.104
6,2,0,0.3,0.3,8,180,NA,NA,-0.0606138510912334,0.788
6,2,0,0.3,0.3,8,181,NA,NA,0.461364096730123,0.078
6,2,0,0.3,0.3,8,182,NA,NA,0.404760986004362,0.14
6,2,0,0.3,0.3,8,183,NA,NA,0.243615456410069,0.36
6,2,0,0.3,0.3,8,184,NA,NA,-0.243875679713643,0.356
6,2,0,0.3,0.3,8,185,NA,NA,0.195796664635555,0.468
6,2,0,0.3,0.3,8,186,NA,NA,0.149150461224381,0.562
6,2,0,0.3,0.3,8,187,NA,NA,0.0511511688580116,0.854
6,2,0,0.3,0.3,8,188,NA,NA,-0.285164586590134,0.252
6,2,0,0.3,0.3,8,189,NA,NA,-0.20224999348516,0.406
6,2,0,0.3,0.3,8,190,NA,NA,-0.236369205582163,0.368
6,2,0,0.3,0.3,8,191,NA,NA,-0.120641944518995,0.646
6,2,0,0.3,0.3,8,192,NA,NA,-0.0604478702557983,0.784
6,2,0,0.3,0.3,8,193,NA,NA,0.040553566705963,0.854
6,2,0,0.3,0.3,8,194,NA,NA,-0.21367705486347,0.434
6,2,0,0.3,0.3,8,195,NA,NA,-0.37199031471505,0.138
6,2,0,0.3,0.3,8,196,NA,NA,0.0167900168015891,0.952
6,2,0,0.3,0.3,8,197,NA,NA,0.272806377641284,0.274
6,2,0,0.3,0.3,8,198,NA,NA,-0.117983001050798,0.664
6,2,0,0.3,0.3,8,199,NA,NA,0.0176587291529547,0.956
6,2,0,0.3,0.3,8,200,NA,NA,-0.0581426172897558,0.818
